ticker,reason
UPRO,etf/fund
UPSX,etf/fund
URA,etf/fund
URNM,etf/fund
URTY,etf/fund
USFR,etf/fund
USHY,etf/fund
USIG,etf/fund
USLV,etf/fund
USMV,etf/fund
USO,etf/fund
USRT,etf/fund
UUP,etf/fund
UVIX,etf/fund
UVXY,etf/fund
UWM,etf/fund
UWT,etf/fund
UXRP,etf/fund
VB,etf/fund
VBIL,etf/fund
VBK,etf/fund
VBR,etf/fund
VCIT,etf/fund
VCLT,etf/fund
VCRB,etf/fund
VCSH,etf/fund
VDE,etf/fund
VEA,etf/fund
VELOCITYSHARES,leveraged/inverse ETP (incl. delisted ETNs)
VEU,etf/fund
VFH,etf/fund
VFLO,etf/fund
VGIT,etf/fund
VGK,etf/fund
VGLT,etf/fund
VGSH,etf/fund
VGT,etf/fund
VHT,etf/fund
VIG,etf/fund
VIGI,etf/fund
VIIX,leveraged/inverse ETP (incl. delisted ETNs)
VIXY,etf/fund
VLUE,etf/fund
VMBS,etf/fund
VNLA,etf/fund
VNM,etf/fund
VNQ,etf/fund
VNQI,etf/fund
VO,etf/fund
VOE,etf/fund
VONG,etf/fund
VONV,etf/fund
VOO,etf/fund
VOT,etf/fund
VPL,etf/fund
VPU,etf/fund
VRIG,etf/fund
VRP,etf/fund
VSS,etf/fund
VT,etf/fund
VTEB,etf/fund
VTI,etf/fund
VTIP,etf/fund
VTV,etf/fund
VTWO,etf/fund
VUG,etf/fund
VUSB,etf/fund
VV,etf/fund
VWO,etf/fund
VWOB,etf/fund
VXF,etf/fund
VXUS,etf/fund
VXX,etf/fund
VYM,etf/fund
VYMI,etf/fund
WCLD,etf/fund
WCMI,etf/fund
WEBL,etf/fund
WGMI,etf/fund
WT,etf/fund
XBI,etf/fund
XDTE,etf/fund
XHB,etf/fund
XIV,leveraged/inverse ETP (incl. delisted ETNs)
XLB,etf/fund
XLC,etf/fund
XLE,etf/fund
XLF,etf/fund
XLI,etf/fund
XLK,etf/fund
XLP,etf/fund
XLRE,etf/fund
XLU,etf/fund
XLV,etf/fund
XLY,etf/fund
XME,etf/fund
XOP,etf/fund
XOVR,etf/fund
XRPI,etf/fund
XRPR,etf/fund
XRPT,etf/fund
XRT,etf/fund
XSOE,etf/fund
XXRP,etf/fund
XYLD,etf/fund
YANG,etf/fund
YBIT,etf/fund
YINN,etf/fund
YYY,etf/fund
ZIV,leveraged/inverse ETP (incl. delisted ETNs)
ZSL,etf/fund
