ticker,as_of,book_value_per_share,earnings_per_share,return_on_equity
CAG,2020-03-31,15.98312198742659,1.7579044117647058,0.11009364728550378
CAG,2020-07-24,16.164601530268374,1.6967567567567567,0.10522305421430624
CAG,2020-10-06,16.62456406193185,2.7172222222222224,0.16429159723419332
CAG,2021-01-07,17.176342777482333,2.9240331491712706,0.17010642864290643
CAG,2021-04-08,17.19315324624529,2.7240808823529408,0.16088045139527488
CAG,2021-07-23,17.804153301866922,2.684710743801653,0.15271123305795434
CAG,2021-10-07,17.838612242606853,1.987222222222222,0.11156687831924479
CAG,2022-01-06,18.092643427575435,2.137569060773481,0.11870814100715578
CAG,2022-04-07,18.285168715357077,2.039705882352941,0.11153286189683859
CAG,2022-07-21,18.304207157975426,1.860192837465565,0.10162996733068332
CAG,2022-10-06,17.744832867233875,-0.6488888888888888,-0.03695842756670808
CAG,2023-01-05,18.182733676688084,1.2704419889502763,0.07083130100128121
CAG,2023-04-05,18.59147333561698,1.8115808823529411,0.09778593241636634
CAG,2023-07-13,18.313823728096683,1.437878787878788,0.07867484561676735
CAG,2023-10-05,18.58806910081893,2.7172222222222224,0.1459351804953696
CAG,2024-01-04,18.83662194448716,2.561049723756906,0.13569997128348113
CAG,2024-04-04,19.149996562480545,2.563051470588235,0.1340460637280068
CAG,2024-07-11,17.65003254331921,0.7340220385674932,0.041362133033790126
CAG,2024-10-02,18.219341740856805,3.9338888888888888,0.21771163960317094
CAG,2024-12-19,18.437717844997813,3.166022099447514,0.17215136139032639
CAH,2016-02-02,20.37780251528764,4.308196721311476,0.21071758054836975
CAH,2016-05-03,20.60369748252404,4.435948905109489,0.21729001686454327
CAH,2016-08-12,20.571962002161147,4.36,0.2177296307598413
CAH,2017-08-10,21.513418154008164,4.0711538461538455,0.16322300561430994
CAH,2018-08-22,19.61928357655492,0.8222527472527472,0.04236727128293393
CAH,2019-08-20,21.22537796618871,4.5625,0.21598364498965003
CAH,2019-11-07,3.077045590676749,-66.78296703296702,-21.935653235653238
CAH,2020-08-13,6.117408860242303,-12.61,-2.0659586361095585
CAH,2020-11-05,4.8462861469343315,-3.449450549450549,-0.713628846540239
CAH,2021-08-16,6.166476096962042,2.095741758241758,0.3420874212331499
CAH,2021-11-09,4.943432616410687,3.7703296703296703,0.780314445066778
CAH,2022-08-11,-2.601716816048757,-3.359203296703297,1.3195531548846076
CAH,2022-11-04,-6.794233635871795,1.6445054945054944,-0.24773093273935498
CAH,2023-08-15,-11.376980889145363,1.0027472527472527,-0.09176614059152628
CAH,2023-11-03,-14.16410291061847,0.08021978021978023,-0.005744756532496435
CAH,2024-08-14,-13.176384508602242,3.48,-0.26517273576097106
CAH,2024-11-01,-13.540734634975738,6.858791208791208,-0.5091765116177689
CASY,2016-06-27,27.741574377227114,5.79,0.2085738045507784
CASY,2017-06-29,30.713137740588547,4.552472527472528,0.14947892371524596
CASY,2018-06-29,34.47225416103922,8.433104395604396,0.25077970098526436
CASY,2019-06-28,38.423221184316034,5.565247252747253,0.1451239531630994
CASY,2020-06-26,44.64463648571272,7.14,0.16056791453287933
CASY,2021-06-25,52.305423038203266,8.463186813186812,0.1623444014161769
CASY,2022-06-24,60.380957826550876,9.16510989010989,0.15205181678059235
CASY,2023-06-23,71.40188101692048,12.02293956043956,0.16834814030657103
CASY,2024-06-24,81.47809226899516,13.51,0.16647050571718797
CB,2016-08-05,101.55845542204004,5.142265193370165,0.04974610155984401
CB,2016-11-03,103.96183973770461,7.3267399267399265,0.06979070021739334
CB,2017-02-28,103.60137567690273,8.94,0.08565510098394614
CB,2017-05-04,105.35439821726763,9.555617977528089,0.09106387310839509
CB,2017-08-03,108.19013643876607,10.382222222222222,0.0965781070351171
CB,2017-11-01,108.73655859799052,6.682720588235294,0.061896348164991656
CB,2018-02-23,110.32414738058227,8.282692307692308,0.07565870286205625
CB,2018-05-02,110.09775324633166,9.514606741573033,0.08652125744023004
CB,2018-08-01,109.96928161051693,10.341666666666665,0.09452433736830747
CB,2018-10-30,110.46174958841428,10.413235294117646,0.0950303478088137
CB,2019-02-28,109.56365395029825,8.573489010989011,0.07896495101336888
CB,2019-05-02,114.26751678963693,9.309550561797751,0.08146630769412362
CB,2019-07-31,117.96671041351388,9.692777777777778,0.08254030209533722
CB,2019-10-31,120.3262447287207,9.634926470588233,0.08067896540350362
CB,2020-02-27,122.42141771719017,9.796840659340658,0.0807185169929382
CB,2020-04-29,115.64183816735063,2.2711111111111113,0.01957966932965496
CB,2020-07-31,121.32221997870644,-0.34281767955801107,-0.002909229223250427
CB,2020-10-30,124.98000725310737,3.3023809523809526,0.026425662803802593
CB,2021-02-25,131.8764089908069,7.82,0.05943708887804714
CB,2021-04-30,131.37430952961057,20.91573033707865,0.1596686348036922
CB,2021-07-29,136.9036778595692,20.68333333333333,0.15412083439704896
CB,2021-10-28,137.66829739319215,19.35036764705882,0.144737709811326
CB,2022-02-24,139.9855460012515,19.463324175824177,0.14339114430801472
CB,2022-04-29,133.82417239510386,19.029213483146066,0.1427848950144289
CB,2022-07-29,123.46523143259765,15.269166666666667,0.12515886994277456
CB,2022-10-28,114.78710530345775,12.74816176470588,0.11270154643439692
CB,2023-02-24,121.90213956730808,12.69478021978022,0.10541345773340234
CB,2023-05-02,127.9388856464387,18.742134831460675,0.14643829321714058
CB,2023-07-28,128.74631882316177,18.087777777777777,0.14132125032834253
CB,2023-11-01,128.37012354045285,18.652573529411764,0.14676399267247042
CB,2024-02-23,146.83310706545726,22.03035714285714,0.15213003844593406
CB,2024-04-26,149.088842926896,21.413333333333334,0.14357075337499886
CB,2024-07-26,151.05667843915376,21.758839779005523,0.1444752557912026
CB,2024-10-30,163.15520394523313,22.127289377289376,0.13616595144037089
CBOE,2017-02-21,3.911481813066167,2.27,0.5875840551540199
CBOE,2017-05-11,24.50315204749388,0.6561797752808988,0.02315415448762915
CBOE,2017-08-04,24.975760646114157,1.6425,0.06032867461134581
CBOE,2017-11-07,25.365372774996988,1.8115808823529411,0.06728443227598555
CBOE,2018-02-22,27.590619320705045,3.7101648351648353,0.12949385052034057
CBOE,2018-05-04,28.210617133992674,4.265168539325843,0.15292675538796457
CBOE,2018-08-03,28.09447142440986,3.6094444444444442,0.12985864166172775
CBOE,2018-11-02,28.236178075494163,3.408455882352941,0.12248739322500153
CBOE,2019-02-22,29.040704440573705,3.7903846153846152,0.13195671190888716
CBOE,2019-05-03,29.430944263100137,3.4859550561797747,0.11908662294126618
CBOE,2019-08-02,29.793968395127877,3.285,0.11129312360150953
CBOE,2019-11-01,29.91954826093154,3.448713235294117,0.11634443935894422
CBOE,2020-02-21,30.324365155674172,3.359203296703297,0.11203061898168586
CBOE,2020-05-01,30.168659677841443,5.7588888888888885,0.19284748027082094
CBOE,2020-07-31,30.216856678956063,4.960773480662984,0.1662939210380009
CBOE,2020-10-30,30.878410881476288,4.63937728937729,0.15226847204721325
CBOE,2021-02-19,31.210643905993866,4.28,0.1398071008390815
CBOE,2022-02-18,33.80139120930159,4.943543956043956,0.14715193539261448
CBOE,2022-04-29,33.594011106845116,4.18314606741573,0.12600093798318496
CBOE,2022-07-29,30.754581606729317,-1.4194444444444443,-0.2293908458260523
CBOE,2022-11-04,31.049514209149653,0.9393382352941175,0.1829044111514207
CBRE,2016-02-29,8.116111583067513,1.6445054945054944,0.20225045818266033
CBRE,2016-05-10,8.403393725645165,1.0138888888888888,0.11826853516326276
CBRE,2016-08-09,8.508127525988089,1.2301104972375692,0.1439689990616792
CBRE,2016-11-09,8.702059015930567,1.23003663003663,0.1403027905391599
CBRE,2017-03-01,8.937653951160245,1.71,0.189741405419894
CBRE,2017-05-10,9.506324588800396,1.5584269662921346,0.16547397748303336
CBRE,2017-08-09,10.474640898093586,1.9669444444444444,0.18719157910649942
CBRE,2017-11-09,11.180933358759663,2.0799632352941178,0.1849377979461274
CBRE,2018-03-01,11.840688760601283,2.0556318681318677,0.17250671552494198
CBRE,2018-05-10,12.826466286522534,1.8044943820224717,0.14144145360663815
CBRE,2018-08-09,13.106732794128304,2.2711111111111113,0.17254367169979945
CBRE,2018-11-09,13.825838490368387,2.643566176470588,0.19060393120081548
CBRE,2019-03-01,14.658977780608579,3.138598901098901,0.2158703691037881
CBRE,2019-05-10,15.134957531465215,2.0095505617977527,0.13248406715504643
CBRE,2019-08-09,15.896998178648811,2.331944444444444,0.14720686417773765
CBRE,2019-11-06,16.416214191397902,2.576470588235294,0.15696837642544895
CBRE,2020-03-02,18.61882148836607,3.830494505494505,0.20631209635886266
CBRE,2020-05-07,18.288626092514555,2.0683333333333334,0.11393495010621674
CBRE,2020-08-04,18.62544156865839,1.532596685082873,0.08206213356599312
CBRE,2020-10-29,19.535886078660532,1.7514652014652015,0.08940871349723592
CBRE,2021-02-24,21.093985065532504,2.24,0.10623825463817292
CBRE,2021-04-29,21.52420018073866,3.239887640449438,0.15099189991256137
CBRE,2021-07-30,22.87567778858754,4.27861111111111,0.18716896173891862
CBRE,2021-10-28,23.79432080885438,4.575919117647059,0.19289294975526042
CBRE,2022-03-01,25.61973242411297,5.495054945054945,0.2159448704980097
CBRE,2022-05-09,25.701205164890606,4.839325842696629,0.18994852321761987
CBRE,2022-08-05,25.257874322013485,5.434444444444445,0.21923176853409854
CBRE,2022-10-27,25.029788336796692,5.4615808823529415,0.22426411428012402
CBRE,2023-02-27,25.250532001501153,4.371978021978022,0.17970041294870318
CBRE,2023-04-27,25.290167442752814,1.5584269662921346,0.06099219644153332
CBRE,2023-07-27,26.049121497578682,2.0683333333333334,0.07970201346764592
CBRE,2023-10-27,25.21413901361332,2.2007352941176466,0.08886374775362564
CBRE,2024-02-20,27.11477358622875,3.208791208791209,0.11959704744269883
CBRE,2024-05-03,26.913242311147137,1.6627777777777777,0.06185691804866239
CBRE,2024-07-25,27.26501350693303,1.6939226519337016,0.06178112660634896
CBRE,2024-10-24,28.40426449836729,2.099084249084249,0.07398702693226393
CCI,2016-02-22,21.239733175668658,4.452197802197802,0.2151393713710645
CCL,2016-01-29,41.144477030122516,2.266208791208791,0.07411665151137618
CCL,2016-03-31,40.248200092041984,0.73,0.025453652547575197
CCL,2016-07-01,41.371134854393844,1.9854395604395605,0.06573228009321204
CCL,2016-09-30,42.59656098617995,3.8498175182481758,0.12628932521595004
CCL,2017-01-30,42.171512929704306,3.73,0.12298092667168208
CCL,2017-03-30,42.227679606280596,1.9685393258426964,0.06370677429911639
CCL,2017-06-30,42.79089387641233,2.0367403314917127,0.06410466153604827
