ticker,gics_sector,n_test_bars,n_trades,total_return,sharpe
HST,Real Estate,132,1,0.00408098837474502,1.3816985594155144
OMC,Communication Services,132,20,0.026037667540127263,1.3744668049295798
C,Financials,132,14,0.01959141669507347,1.3652999646917878
BKNG,Consumer Discretionary,132,55,0.04519130798892834,1.3586369309828394
ZBH,Health Care,132,3,0.013280674308028484,1.3495751709361774
ECHO,Communication Services,132,57,0.05041826715334152,1.3316145388249758
FANG,Energy,132,20,0.030263252388988304,1.3241026492942372
BA,Industrials,132,8,0.017558407373631457,1.3066325887124053
FDS,Financials,132,61,0.0579678810233899,1.2953178281951667
UBER,Industrials,132,20,0.02908989710358645,1.2926846542313524
MRK,Health Care,132,2,0.011918980715750482,1.2891009997477283
MPWR,Information Technology,132,71,0.06414236475966129,1.2852803886711093
ALL,Financials,132,2,0.01099298684563399,1.2807679029189452
BKR,Energy,132,14,0.016051918803200893,1.2789251839803644
TER,Information Technology,132,58,0.07089049512330536,1.2638360962771007
LULU,Consumer Discretionary,132,36,0.030646230357942894,1.2541334219656062
DECK,Consumer Discretionary,132,29,0.030122601029427765,1.2458999893793847
O,Real Estate,132,2,0.007057233420507458,1.2417904739602066
TXN,Information Technology,132,34,0.04246168977663278,1.2097144756273002
LDOS,Industrials,132,12,0.01652566417871748,1.1956521032153964
AFL,Financials,132,4,0.007528038381433122,1.1708620617164127
FTNT,Information Technology,132,51,0.044147620889542605,1.1675983895535527
PWR,Industrials,132,31,0.03120975055848607,1.1553420595207793
TEL,Information Technology,132,26,0.02328717869862551,1.1380381312782897
BG,Consumer Staples,132,19,0.023188952460571954,1.1260044288943074
MRSH,Financials,132,5,0.023261429601610484,1.1211618435262174
NOC,Industrials,132,5,0.0092620178727012,1.1187364190542135
GEN,Information Technology,132,57,0.04138283642173213,1.1123057257469795
BX,Financials,132,43,0.03185590796289217,1.0897544261349321
CRWD,Information Technology,132,76,0.05275338042027422,1.0856623573652044
AMZN,Consumer Discretionary,132,11,0.01405019343937619,1.0706290889787589
ELV,Health Care,132,11,0.016848907993223028,1.0536379237746865
MET,Financials,132,4,0.0091808994946041,1.0491286330288108
GLW,Information Technology,132,80,0.05733470890141912,1.0188604391128355
FSLR,Information Technology,132,75,0.040678298018897774,1.0150852849438061
CMG,Consumer Discretionary,132,23,0.021023064030400773,1.009217649767204
VTR,Real Estate,132,5,0.013206495659141337,0.9954801665684635
DLTR,Consumer Staples,132,52,0.04437872200969384,0.9838264611794368
MA,Financials,132,7,0.011802950193032125,0.9752375505901628
PYPL,Financials,132,13,0.011628481248566969,0.951512857800011
NCLH,Consumer Discretionary,132,75,0.043501675510363436,0.9095289530202509
HAS,Consumer Discretionary,132,8,0.012732202398017423,0.8810285615925133
GM,Consumer Discretionary,132,10,0.010677160914080552,0.8731881672550559
PTC,Information Technology,132,32,0.021534571155574556,0.8720635238230459
DXCM,Health Care,132,25,0.02238888845483067,0.8580133070542559
PODD,Health Care,132,37,0.026337863867205602,0.8429351041866844
BBY,Consumer Discretionary,132,24,0.018671277716338697,0.8311886874010856
AAPL,Information Technology,132,10,0.011706092034832416,0.8278808936712557
LYV,Communication Services,132,18,0.015953520199835758,0.8065681113254569
RCL,Consumer Discretionary,132,62,0.03310677428483544,0.7958909968882665
HBAN,Financials,132,5,0.007772181989801341,0.7856688913281741
DOW,Materials,132,59,0.02503128751606809,0.7651760496300206
